Fiyat;Marka;Seri;Model;Yıl;Kilometre;Vites;Yakıt;Renk;Motor Hacmi;Motor Gücü;Kasa Tipi;İlan Tarihi;Boya-değişen;Araç Durumu;Link
815.000 TL;Renault;Clio;0.9 TCe Touch;2020;136.000 km;;;;898 cc;90 hp;Hatchback/5;16 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/sahibinden-satilik-renault-clio-0-9-tce-touch/sahibinden-2020-clio-0-9-tce-turbo-tesla-ekran-orjinal-hatasiz-boyasiz-yeni-muayeneli/33631627
1.129.000 TL;Renault;Megane;1.5 dCi Joy;2017;94.000 km;;;;1461 cc;90 hp;Sedan;16 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-megane-1-5-dci-joy/2017-sifir-gibi-megane-1-5-dizel-manuel-96-000km-hatasiz-boyasiz/33117527
1.120.000 TL;Renault;Megane;1.3 TCe Joy;2019;72.000 km;;;;1201 - 1400 cm3;126 - 150 HP;Sedan;16 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-megane-1-3-tce-joy/2019-model-boyasiz-tramersiz-degisensiz-1-3-tce-megane/33116925
525.000 TL;Renault;Clio;0.9 TCe Icon;2013;226.000 km;;;;1200 cm3' e kadar;76 - 100 HP;Hatchback/5;16 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-clio-0-9-tce-icon/emcars-5-yillik-sahibinden-bakimli-0-9-tce-icon-paket-firsat/33114885
949.950 TL;Renault;Clio;1.0 TCe Joy;2023;85.000 km;;;;1200 cm3' e kadar;76 - 100 HP;Hatchback/5;16 Ekim 2025;1 değişen, 6 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-clio-1-0-tce-joy/sercanlar-oto-2023-clio-1-0-tce-joy-xtronic-k-kartina-12-taksit/32443830
1.159.000 TL;Renault;Megane;1.5 dCi Touch Plus;2017;159.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;16 Ekim 2025;Belirtilmemiş;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-megane-1-5-dci-touch-plus/hatasiz-megane-110hp-dizel-otomatik-bakimli/31837636
590.000 TL;Renault;Symbol;1.5 dCi Joy;2016;239.000 km;;;;1401 - 1600 cm3;76 - 100 HP;Sedan;16 Ekim 2025;1 değişen, 2 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-symbol-1-5-dci-joy/ali-erturk-i-renault-symbol-1-5dci-joy-manuel/31071401
1.209.000 TL;Renault;Clio;1.0 TCe Evolution;2024;53.000 km;;;;999 cc;90 hp;Hatchback/5;15 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-clio-1-0-tce-evolution/renault-clio-1-0-tce-evolution-tertemiz/33622249
1.025.000 TL;Renault;Clio;1.0 TCe Icon;2021;186.500 km;;;;999 cc;90 hp;Hatchback/5;15 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-clio-1-0-tce-icon/2021-clio-1-0-tce-icon-otomatik-vites-ful-orjinal-hatasiz-boyasiz-tramersiz/33620770
650.000 TL;Renault;Clio;1.5 dCi Joy;2016;230.000 km;;;;1461 cc;75 hp;Hatchback/5;15 Ekim 2025;Belirtilmemiş;İkinci El;https://www.arabam.com/ilan/sahibinden-satilik-renault-clio-1-5-dci-joy/hatasiz-boyasiz-sahibinden-clio/33612792
390.000 TL;Renault;Clio;1.5 dCi Extreme;2007;214.000 km;;;;1461 cc;65 hp;Hatchback/5;15 Ekim 2025;1 değişen, 11 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-clio-1-5-dci-extreme/galeriden-renault-clio-1-5-dci-extreme-2007-model-bursa/33609955
235.000 TL;Renault;R 19;1.6 Europa RNE;1998;224.000 km;;;;1598 cc;90 hp;Sedan;15 Ekim 2025;1 değişen, 4 boyalı;İkinci El;https://www.arabam.com/ilan/sahibinden-satilik-renault-r-19-1-6-europa-rne/sahibinden-renault-r-19-1-6-europa-rne-1998-model-rize/33606111
430.000 TL;Renault;Clio;1.5 dCi Authentique;2009;225.000 km;;;;1461 cc;70 hp;Hatchback/5;15 Ekim 2025;6 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-clio-1-5-dci-authentique/galeriden-renault-clio-1-5-dci-authentique-2009-model-bursa/33608942
1.139.000 TL;Renault;Megane;1.6 Touch;2019;82.000 km;;;;1598 cc;115 hp;Sedan;15 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-megane-1-6-touch/guven-oto-dan-hatasiz-boyasiz-full-82-000km-lansman-renk-touch/33607842
645.000 TL;Renault;Fluence;1.5 dCi Touch Plus;2014;270.000 km;;;;1461 cc;110 hp;Sedan;15 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-fluence-1-5-dci-touch-plus/birdem-motors-dan-tekrardan-fluence-touch-plus-full-ekstrali/33607610
1.055.000 TL;Renault;Megane;1.5 Blue DCI Joy;2020;135.000 km;;;;1461 cc;115 hp;Sedan;15 Ekim 2025;1 değişen, 2 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-megane-1-5-blue-dci-joy/2020-model-135-000-km-1-5-bluedci-otomatik-vites-renault-megane/33605927
815.000 TL;Renault;Clio;0.9 TCe Touch;2019;85.000 km;;;;898 cc;90 hp;Hatchback/5;15 Ekim 2025;Belirtilmemiş;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-clio-0-9-tce-touch/galeriden-renault-clio-0-9-tce-touch-2019-model-balikesir/33590247
1.250.000 TL;Renault;Clio;1.0 TCe Icon;2023;40.500 km;;;;999 cc;90 hp;Hatchback/5;15 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-clio-1-0-tce-icon/kvk-otomotiv-den-2023-model-hatasiz-boyasiz-1-0-tce-icon-clio/33545645
410.000 TL;Renault;Megane;1.5 dCi Expression;2007;290.000 km;;;;1461 cc;100 hp;Sedan;15 Ekim 2025;2 değişen, 6 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-megane-1-5-dci-expression/galeriden-renault-megane-1-5-dci-expression-2007-model-istanbul/33600101
610.000 TL;Renault;Symbol;1.2 Joy;2013;56.000 km;;;;1149 cc;75 hp;Sedan;15 Ekim 2025;5 boyalı;İkinci El;https://www.arabam.com/ilan/sahibinden-satilik-renault-symbol-1-2-joy/sahibinden-renault-symbol-1-2-joy-2013-model/33593880
999.500 TL;Renault;Clio;1.0 TCe Joy;2022;104.000 km;;;;1200 cm3' e kadar;76 - 100 HP;Hatchback/5;15 Ekim 2025;Belirtilmemiş;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-clio-1-0-tce-joy/ycl-group-dan-249-000tl-pesinat-ile-clio-1-0tce-joy-otomatk-90hp/33679659
730.000 TL;Renault;Fluence;1.5 dCi Touch Plus;2014;190.000 km;;;;1461 cc;90 hp;Sedan;15 Ekim 2025;2 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-fluence-1-5-dci-touch-plus/tekeli-otomotiv-den/33645238
310.000 TL;Renault;Megane;1.4 Authentique;2004;312.000 km;;;;1201 - 1400 cm3;76 - 100 HP;Sedan;15 Ekim 2025;Tamamı boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-megane-1-4-authentique/kusursuz-sorunsuz-megane-2/33120438
1.245.000 TL;Renault;Clio;1.0 TCe Evolution;2024;24.000 km;;;;1200 cm3' e kadar;76 - 100 HP;Hatchback/5;15 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-clio-1-0-tce-evolution/hatasiz-boyasiz-2024-renault-clio-1-0tce-evolution-gsr2-24-000km/33115015
569.500 TL;Renault;Symbol;1.4 Expression;2009;108.000 km;;;;1390 cc;75 hp;Sedan;15 Ekim 2025;Belirtilmemiş;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-symbol-1-4-expression/polat-tan-108-000-kmexpression-1-4-benzin-lpg-bakimli-symbol/33002869
1.151.500 TL;Renault;Clio;1.0 TCe Techno Esprit Alpine;2024;7.500 km;;;;999 cc;90 hp;Hatchback/5;14 Ekim 2025;Belirtilmemiş;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-clio-1-0-tce-techno-esprit-alpine/2024-clio-alpine-dusuk-km-degisensiz-garantili/33590615
375.000 TL;Renault;Megane;1.6 Dynamique;2006;315.000 km;;;;1598 cc;115 hp;Hatchback/5;14 Ekim 2025;1 değişen, 3 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-megane-1-6-dynamique/2006-model-renault-megane-ii-hb-masrafsiz/33563379
915.000 TL;Renault;Megane;1.2 TCe Touch;2016;199.000 km;;;;1198 cc;130 hp;Hatchback/5;14 Ekim 2025;4 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-megane-1-2-tce-touch/tramersiz-degisensiz-otomatik-vites-temiz-megane-4/33562400
795.000 TL;Renault;Scenic;1.5 dCi Privilege;2012;255.000 km;;;;1461 cc;110 hp;MPV;14 Ekim 2025;2 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-scenic-1-5-dci-privilege/oto2next-2012-scenic-dizel-otomatik-cam-tavan-full/33562122
770.000 TL;Renault;Clio;0.9 TCe Touch;2019;121.000 km;;;;898 cc;90 hp;Hatchback/5;14 Ekim 2025;Belirtilmemiş;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-clio-0-9-tce-touch/2020-cikisli-touch-121-bin-km-masrafsiz-1-lokal/33562090
399.000 TL;Renault;Symbol;1.5 dCi Joy;2016;330.000 km;;;;1401 - 1600 cm3;76 - 100 HP;Sedan;14 Ekim 2025;3 değişen, 1 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-symbol-1-5-dci-joy/2016-symbol-1-5-dizel-90-lik-60-pesinatla-taksitli-satis-mevcut/33562077
449.900 TL;Renault;Latitude;1.5 dCi Expression;2011;308.000 km;;;;1461 cc;110 hp;Sedan;14 Ekim 2025;2 değişen, 10 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-latitude-1-5-dci-expression/tamaminaticarikredi-2011-renault-latitude-manuel-1-5-3ayerteleme/33357122
595.000 TL;Renault;Clio;1.6 Dynamique;2007;206.000 km;;;;1598 cc;110 hp;Hatchback/5;14 Ekim 2025;1 değişen, 3 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-clio-1-6-dynamique/otomatik-vites-temiz-kullanilmis-aile-araci-arayanlara/31763619
500.000 TL;Renault;Symbol;1.5 dCi Joy;2016;330.000 km;;;;1461 cc;90 hp;Sedan;14 Ekim 2025;1 değişen, 1 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-symbol-1-5-dci-joy/galeriden-renault-symbol-1-5-dci-joy-2016-model-sanliurfa/33519553
550.000 TL;Renault;Fluence;1.5 dCi Business;2011;235.000 km;;;;1461 cc;85 hp;Sedan;14 Ekim 2025;4 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-fluence-1-5-dci-business/seyhoglu-otomotivden-renault-fluence-1-5-dci-business-2011-model-ordu/31742761
260.000 TL;Renault;Clio;1.4 RTA;2000;323.000 km;;;;1390 cc;75 hp;Hatchback/5;14 Ekim 2025;Belirtilmemiş;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-clio-1-4-rta/bayan-dan-binicisinden-komisyonsuz-direk-satis/29939630
850.000 TL;Renault;Symbol;0.9 TCe Joy;2020;94.000 km;;;;1200 cm3' e kadar;76 - 100 HP;Sedan;14 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-symbol-0-9-tce-joy/2020-hatasiz-symbol-94-bin-kmde-benzinli-turbo/33002769
342.000 TL;Renault;Clio;1.5 dCi Authentique;2007;257.000 km;;;;1461 cc;65 hp;Hatchback/5;14 Ekim 2025;5 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-clio-1-5-dci-authentique/liva-otomotiv-den-renault-clio-3/31725705
755.000 TL;Renault;Fluence;1.5 dCi Touch;2014;214.000 km;;;;1461 cc;110 hp;Sedan;14 Ekim 2025;1 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-fluence-1-5-dci-touch/tek-parca-boyali-harici-hatasiz-fluence-230-bin-pesin-36-ay/32639299
1.157.000 TL;Renault;Megane;1.5 dCi Touch;2019;155.224 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;14 Ekim 2025;4 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-megane-1-5-dci-touch/damla-otomotiv-den-renault-megan/30641129
669.750 TL;Renault;Clio;1.2 Joy;2013;111.000 km;;;;1149 cc;75 hp;Hatchback/5;13 Ekim 2025;3 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-clio-1-2-joy/galeriden-renault-clio-1-2-joy-2013-model-istanbul/33502327
439.999 TL;Renault;Symbol;1.5 dCi Authentique;2010;219.000 km;;;;1461 cc;65 hp;Sedan;13 Ekim 2025;3 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-symbol-1-5-dci-authentique/baris-garageden-renault-symbol-1-5-dci-authentique-2010-model-degisensiz-soktaksiz/33500414
500.000 TL;Renault;Megane;1.5 dCi Privilege;2010;280.000 km;;;;1461 cc;105 hp;Hatchback/5;13 Ekim 2025;2 değişen, 10 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-megane-1-5-dci-privilege/erkay-2010-megane-iii-privilege-1-5-dci-6-ileri-en-dolusu/29911658
609.000 TL;Renault;Clio;1.5 dCi Joy;2013;201.000 km;;;;1461 cc;75 hp;Station wagon;13 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-clio-1-5-dci-joy/2014-cikisli-hatasiz-boyasiz-renault-clio-1-5-dci-joy-75hp/33480037
1.049.750 TL;Renault;Megane;1.6 Joy;2018;73.899 km;;;;1598 cc;115 hp;Hatchback/5;13 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-megane-1-6-joy/cn-auto-dan-hatasiz-2018-megan-joy-1-6-benzinli-manuel/33479773
195.000 TL;Renault;R 9;1.4 Broadway RNi;1998;240.000 km;;;;1397 cc;72 hp;Sedan;13 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-r-9-1-4-broadway-rni/renault-brodvey-rni-muayene-yeni/33261494
"549.000 TL
542.750 TL";Renault;Fluence;1.5 dCi Business;2011;229.000 km;;;;1461 cc;85 hp;Sedan;13 Ekim 2025;1 değişen, 4 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-fluence-1-5-dci-business/2011-flaunce-1-5-dci-businees/33266808
590.000 TL;Renault;Fluence;1.6 Privilege;2011;260.000 km;;;;1598 cc;105 hp;Sedan;13 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-fluence-1-6-privilege/ar-motors2011-model-fluence-1-6-privilege-full-full/33261112
1.099.000 TL;Renault;Megane;1.5 Blue DCI Joy;2020;225.000 km;;;;1461 cc;115 hp;Sedan;13 Ekim 2025;1 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-megane-1-5-blue-dci-joy/21-cikisli-hasar-kayitsiz-tek-parca-boya-kalani-hatasiz/33560539
647.000 TL;Renault;Fluence;1.5 dCi Touch;2014;251.000 km;;;;1461 cc;90 hp;Sedan;13 Ekim 2025;1 değişen, 2 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-fluence-1-5-dci-touch/dogcar-dan-ekspertiz-raporlu-fluence-1-5-touch-kk-12-taksit/32663670
745.000 TL;Renault;Clio;0.9 TCe Touch;2020;139.000 km;;;;1200 cm3' e kadar;76 - 100 HP;Hatchback/5;13 Ekim 2025;2 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-clio-0-9-tce-touch/2020-hatasiz-ayarinda-ilk-sahibnden-0-9-turbo-90hp-touch-kredi12/32254492
565.000 TL;Renault;Clio;1.2 Joy;2012;63.000 km;;;;1200 cm3' e kadar;51 - 75 HP;Hatchback/5;13 Ekim 2025;1 değişen, 6 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-clio-1-2-joy/altindis-otomotiv-dusuk-km-li-clio-joy/32254259
445.000 TL;Renault;Megane;1.6 Dynamique;2004;310.000 km;;;;1598 cc;115 hp;Sedan;12 Ekim 2025;Belirtilmemiş;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-megane-1-6-dynamique/boyraz-auto-renault-megane-1-6-dynamique-2004-model/31352031
750.000 TL;Renault;Clio;1.5 dCi Icon;2014;189.000 km;;;;1461 cc;90 hp;Hatchback/5;12 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-clio-1-5-dci-icon/satilik-renault-clio-icon-paket/33002625
835.500 TL;Renault;Clio;1.5 dCi Joy;2018;89.000 km;;;;1461 cc;75 hp;Hatchback/5;12 Ekim 2025;1 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-clio-1-5-dci-joy/uy-car-2019-cikis-clio-1-5dci-89binkm-degisensiz-gerigorus/32591328
1.215.000 TL;Renault;Megane;1.5 dCi Touch;2018;145.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;12 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-megane-1-5-dci-touch/2018-model-boyasiz-degisensiz-tramersiz-megane4/32166728
465.000 TL;Renault;Symbol;1.4 Expression;2008;181.500 km;;;;1390 cc;75 hp;Sedan;11 Ekim 2025;Belirtilmemiş;İkinci El;https://www.arabam.com/ilan/sahibinden-satilik-renault-symbol-1-4-expression/garantili-degisensiz-boyasiz-makyaj-kusursuz-renault-symbol-1-4-expression-2008-model/33423963
169.750 TL;Renault;R 11;GTD;1992;450.000 km;;;;1801 - 2000 cm3;51 - 75 HP;Hatchback/5;11 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-r-11-gtd/es-bul-auto-dan-ozel-seri-fransiz/30070510
659.000 TL;Renault;Symbol;1.5 dCi Joy;2016;123.000 km;;;;1401 - 1600 cm3;76 - 100 HP;Sedan;11 Ekim 2025;3 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-symbol-1-5-dci-joy/200-bin-pesin-kalan-36-ay-vade-senet-imkani-dusuk-km-hatasiz/33424987
785.000 TL;Renault;Megane;1.5 dCi Touch;2016;294.000 km;;;;1461 cc;110 hp;Hatchback/5;11 Ekim 2025;2 değişen, 3 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-megane-1-5-dci-touch/kurt-car-dan-megane-4-ful-bakimli-mukemmel-kondisyon/33422181
1.429.500 TL;Renault;Clio;1.0 TCe Techno Esprit Alpine;2025;19.300 km;;;;1200 cm3' e kadar;76 - 100 HP;Hatchback/5;11 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-clio-1-0-tce-techno-esprit-alpine/galeri-anil-dan-2025-model-hatasiz-clio-esprit-alpine-17-100-km/33002361
1.289.000 TL;Renault;Clio;1.0 TCe Evolution;2024;35.000 km;;;;1200 cm3' e kadar;76 - 100 HP;Hatchback/5;11 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-clio-1-0-tce-evolution/nurol-2024-clio-evolution-x-tronic-0-99-kredi-orani-gsr-paket/32953644
1.405.000 TL;Renault;Clio;1.0 TCe Techno Esprit Alpine;2024;12.000 km;;;;1200 cm3' e kadar;76 - 100 HP;Hatchback/5;11 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-clio-1-0-tce-techno-esprit-alpine/s-garage-2024-clio-alpine-gsr2-hatasiz/32536887
540.000 TL;Renault;Symbol;1.5 dCi Joy;2017;248.000 km;;;;1461 cc;90 hp;Sedan;11 Ekim 2025;6 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-symbol-1-5-dci-joy/isil-otomotivden-masrafsiz-degisensiz-hasar-kayitsiz/32142791
455.000 TL;Renault;Symbol;1.5 dCi Expression;2012;275.000 km;;;;1461 cc;65 hp;Sedan;11 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-symbol-1-5-dci-expression/bilgicler-oto-dan-2012-symbol-expression-3-5-parca-boyali/32111356
1.250.000 TL;Renault;Megane;1.5 Blue DCI Touch;2020;99.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;11 Ekim 2025;8 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-megane-1-5-blue-dci-touch/2020-renault-megane-1-5bluedci-touch-98-binde-hasar-kaydi-yok/31018964
635.000 TL;Renault;Fluence;1.5 dCi Touch;2014;253.800 km;;;;1461 cc;90 hp;Sedan;10 Ekim 2025;1 değişen, 1 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-fluence-1-5-dci-touch/nilvera-motors-dan-renault-fluence-1-5-dci-dizel-touch/33389313
1.665.000 TL;Renault;Megane;1.3 TCe Touch;2025;6.001 km;;;;1201 - 1400 cm3;126 - 150 HP;Sedan;10 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-megane-1-3-tce-touch/altingoz-den-hatasiz-boyasiz-tramersiz/32443447
365.000 TL;Renault;Clio;1.5 dCi Expression;2005;252.000 km;;;;1461 cc;80 hp;Sedan;10 Ekim 2025;3 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-clio-1-5-dci-expression/osmanbey-den-degisensiz-hasar-kayitsiz-cok-temiz-clio/33387213
520.000 TL;Renault;Clio;1.4 Dynamique;2005;218.000 km;;;;1201 - 1400 cm3;76 - 100 HP;Hatchback/5;10 Ekim 2025;2 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-clio-1-4-dynamique/kg-auto-2005-otomatik-2parca-boyali-orjinal-klima/33387131
539.000 TL;Renault;Symbol;1.2 Joy;2013;65.000 km;;;;1200 cm3' e kadar;51 - 75 HP;Sedan;10 Ekim 2025;2 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-symbol-1-2-joy/2013-symbol-65-000-kilometre-ilk-sahibinden/33176989
1.013.000 TL;Renault;Clio;1.0 TCe Joy;2022;90.000 km;;;;1200 cm3' e kadar;76 - 100 HP;Hatchback/5;10 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-clio-1-0-tce-joy/2023-trafik-cikisli-clio-hatasiz-boyasiz-otomatik-90-bin-km/33424095
725.000 TL;Renault;Fluence;1.5 dCi Touch Plus;2013;226.000 km;;;;1461 cc;110 hp;Sedan;10 Ekim 2025;1 değişen, 1 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-fluence-1-5-dci-touch-plus/aceal-otomotiv-2013-renault-fluence-1-5dci-touch-plus-otomatik/33422778
"585.000 TL
569.000 TL";Renault;Clio;1.5 dCi Joy;2013;201.350 km;;;;1461 cc;75 hp;Station wagon;10 Ekim 2025;7 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-clio-1-5-dci-joy/clio-1-5-dci-ekstrali-tertemiz-arac-k-kart-12-taksitle/33413614
300.000 TL;Toyota;Corolla;1.6 Terra Special;1999;310.000 km;;;;1598 cc;110 hp;Sedan;20 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-toyota-corolla-1-6-terra-special/temiz-aile-araci-kredi-karti-gecer-taksit-olur/32805671
610.000 TL;Toyota;Corolla;1.4 D-4D Elegant;2008;270.000 km;;;;1201 - 1400 cm3;76 - 100 HP;Sedan;19 Ekim 2025;Tamamı boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-toyota-corolla-1-4-d-4d-elegant/1-4-d-4-dizel-otomatik-vites-masrafsiz-degisensiz-cok-temiz/33262568
1.365.000 TL;Toyota;Corolla;1.6 Touch;2018;80.400 km;;;;1401 - 1600 cm3;126 - 150 HP;Sedan;19 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-toyota-corolla-1-6-touch/kocyigit-motors-dan-boyasiz-toyota-corolla-1-6-touch-multidrive/33003411
1.308.850 TL;Toyota;Corolla;1.6 Vision;2019;69.650 km;;;;1401 - 1600 cm3;126 - 150 HP;Sedan;19 Ekim 2025;1 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-toyota-corolla-1-6-vision/2019-toyota-corolla-1-6-vision-otomatik-celik-jnt-multimedya/32805700
1.179.500 TL;Toyota;Corolla;1.4 D-4D Premium;2016;161.000 km;;;;1201 - 1400 cm3;76 - 100 HP;Sedan;19 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-toyota-corolla-1-4-d-4d-premium/harmansah-auto-dan-hatasz-led-far-cam-gibi-full-full-deri-koltk/32804787
685.000 TL;Toyota;Yaris;1.33 Cool;2014;198.000 km;;;;1329 cc;99 hp;Hatchback/5;18 Ekim 2025;3 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-toyota-yaris-1-33-cool/galeriden-toyota-yaris-1-33-cool-2014-model-istanbul/33718889
1.129.750 TL;Toyota;Corolla;1.6 Advance;2015;163.000 km;;;;1401 - 1600 cm3;126 - 150 HP;Sedan;18 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-toyota-corolla-1-6-advance/cn-auto-dan-hatasiz-2015-toyota-corolla-1-6-lpg-li-manuel/33425282
895.000 TL;Toyota;Auris;1.33 Life;2017;117.000 km;;;;1329 cc;99 hp;Hatchback/5;18 Ekim 2025;2 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-toyota-auris-1-33-life/galeriden-toyota-auris-1-33-life-2017-model-aydin/32782611
825.000 TL;Toyota;Corolla;1.33 Comfort;2015;162.000 km;;;;1201 - 1400 cm3;76 - 100 HP;Sedan;18 Ekim 2025;4 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-toyota-corolla-1-33-comfort/2015-model-159-000-km-degisensiz/31919589
975.000 TL;Toyota;Yaris;1.5 Hybrid Cool;2015;126.000 km;;;;1497 cc;75 hp;Hatchback/5;17 Ekim 2025;2 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-toyota-yaris-1-5-hybrid-cool/galeriden-toyota-yaris-1-5-hybrid-cool-2015-model-bursa-tum-kartlara-12-taksit/33693253
"1.520.000 TL
1.500.000 TL";Toyota;Corolla;1.8 Hybrid Dream;2021;52.000 km;;;;1798 cc;98 hp;Sedan;17 Ekim 2025;Belirtilmemiş;İkinci El;https://www.arabam.com/ilan/sahibinden-satilik-toyota-corolla-1-8-hybrid-dream/sahibinden-toyota-corolla-1-8-hybrid-dream-2021-model/33418226
