Fiyat;Marka;Seri;Model;Yıl;Kilometre;Vites;Yakıt;Renk;Motor Hacmi;Motor Gücü;Kasa Tipi;Boya-değişen
650.000 TL;Fiat;Egea;1.4 Fire Easy Stil;2020.0;127.000 km;;;;1368 cc;95 hp;Sedan;Belirtilmemiş
750.000 TL;Fiat;Egea;1.4 Fire Easy;2021.0;53.000 km;;;;1368 cc;95 hp;Sedan;Belirtilmemiş
610.000 TL;Fiat;Punto;Grande 1.4 Fire S&S;2011.0;152.000 km;;;;1368 cc;77 hp;Hatchback/5;Tamamı orjinal
860.000 TL;Fiat;Egea;1.4 Fire Mirror;2020.0;27.000 km;;;;1368 cc;95 hp;Sedan;Tamamı orjinal
865.000 TL;Fiat;Egea;1.3 Multijet Easy;2020.0;130.000 km;;;;1248 cc;95 hp;Sedan;Tamamı orjinal
165.000 TL;Fiat;Palio;1.3 Multijet Dynamic;2007.0;281.418 km;;;;1248 cc;70 hp;Hatchback/3;Belirtilmemiş
238.500 TL;Fiat;Palio;1.4 EL Weekend;2001.0;195.000 km;;;;1400 cc;74 hp;Station wagon;Belirtilmemiş
385.000 TL;Fiat;Albea;1.2 EL;2004.0;99.500 km;;;;1242 cc;80 hp;Sedan;Belirtilmemiş
715.000 TL;Fiat;Egea;1.6 Multijet Comfort;2017.0;233.500 km;;;;1598 cc;120 hp;Sedan;3 boyalı
905.000 TL;Fiat;Egea;1.3 Multijet Easy Plus;2021.0;64.000 km;;;;1248 cc;95 hp;Sedan;4 boyalı
210.000 TL;Fiat;Tipo;1.4 SX ie;1999.0;133.000 km;;;;1372 cc;70 hp;Hatchback/5;Belirtilmemiş
830.000 TL;Fiat;Egea;1.4 Fire Urban;2021.0;55.000 km;;;;1368 cc;95 hp;Sedan;Tamamı orjinal
799.000 TL;Fiat;Egea;1.4 Fire Urban;2021.0;56.600 km;;;;1368 cc;95 hp;Sedan;Belirtilmemiş
799.000 TL;Fiat;Egea;1.4 Fire Urban;2021.0;56.600 km;;;;1368 cc;95 hp;Sedan;Belirtilmemiş
805.000 TL;Fiat;Egea;1.3 Multijet Easy;2018.0;90.000 km;;;;1248 cc;95 hp;Sedan;1 değişen, 2 boyalı
295.000 TL;Fiat;Palio;1.2 EL;2004.0;244.000 km;;;;1242 cc;81 hp;Hatchback/5;1 değişen, 2 boyalı
325.000 TL;Fiat;Albea;1.2 SL;2005.0;265.000 km;;;;1242 cc;80 hp;Sedan;Belirtilmemiş
980.000 TL;Fiat;Egea;1.4 Fire Urban;2024.0;22.000 km;;;;1368 cc;95 hp;Sedan;Belirtilmemiş
430.000 TL;Fiat;Punto;Grande 1.3 Multijet Dynamic;2007.0;233.000 km;;;;1248 cc;75 hp;Hatchback/5;Belirtilmemiş
615.000 TL;Fiat;Egea;1.3 Multijet Easy Stil;2018.0;200.000 km;;;;;76 - 100 HP;Sedan;3 değişen, 8 boyalı
260.000 TL;Fiat;Siena;1.6 HL;2000.0;275.585 km;;;;1580 cc;101 hp;Sedan;1 boyalı
350.000 TL;Fiat;Linea;1.3 Multijet Active Plus;2010.0;317.000 km;;;;1248 cc;90 hp;Sedan;Belirtilmemiş
175.000 TL;Fiat;Tempra;1.6 SX A;1996.0;260.000 km;;;;1581 cc;90 hp;Sedan;Tamamı boyalı
610.000 TL;Fiat;Linea;1.3 Multijet Pop;2017.0;158.500 km;;;;1248 cc;95 hp;Sedan;Belirtilmemiş
185.000 TL;Fiat;Uno;70 S;1999.0;300.000 km;;;;1372 cc;71 hp;Hatchback/5;Tamamı boyalı
540.000 TL;Fiat;Linea;1.6 Multijet Emotion Plus;2012.0;230.000 km;;;;1598 cc;105 hp;Sedan;Belirtilmemiş
870.000 TL;Fiat;Egea;1.4 Fire Urban Plus;2020.0;58.000 km;;;;1368 cc;95 hp;Sedan;1 boyalı
850.000 TL;Fiat;Egea;1.6 Multijet Easy;2020.0;168.000 km;;;;1598 cc;120 hp;Sedan;Belirtilmemiş
325.000 TL;Fiat;Siena;1.6 HL;2000.0;215.500 km;;;;1580 cc;101 hp;Sedan;Tamamı orjinal
750.000 TL;Fiat;Egea;1.3 Multijet Easy;2020.0;106.100 km;;;;1248 cc;95 hp;Sedan;1 değişen, 1 boyalı
540.000 TL;Fiat;Linea;1.3 Multijet Active Plus;2013.0;132.000 km;;;;1248 cc;95 hp;Sedan;2 boyalı
1.089.000 TL;Fiat;Egea;1.6 Multijet Easy;2024.0;87.973 km;;;;1598 cc;130 hp;Sedan;1 boyalı
895.000 TL;Fiat;Egea;1.4 Fire Easy Plus;2021.0;28.500 km;;;;1368 cc;95 hp;Sedan;2 değişen
685.500 TL;Hyundai;Accent Era;1.6 Style;2008.0;213.000 km;;;;1599 cc;112 hp;Sedan;Belirtilmemiş
945.000 TL;Hyundai;i20;1.4 MPI Jump;2017.0;107.500 km;;;;1368 cc;100 hp;Hatchback/5;Tamamı orjinal
1.085.000 TL;Hyundai;i30;1.6 CRDi Elite;2015.0;140.000 km;;;;1582 cc;136 hp;Hatchback/5;4 boyalı
570.000 TL;Hyundai;i10;1.0 D-CVVT Style;2015.0;112.000 km;;;;998 cc;65 hp;Hatchback/5;4 boyalı
515.000 TL;Hyundai;i20 Troy;1.4 CRDi Mode;2012.0;201.000 km;;;;1396 cc;90 hp;Hatchback/5;2 değişen, 2 boyalı
595.000 TL;Hyundai;i20;1.4 CRDi Sense;2013.0;185.000 km;;;;1396 cc;90 hp;Hatchback/5;1 değişen, 3 boyalı
645.000 TL;Hyundai;Accent Blue;1.4 CVVT Mode Plus;2012.0;213.000 km;;;;1396 cc;108 hp;Sedan;1 boyalı
1.120.000 TL;Hyundai;i20;1.4 MPI Style;2018.0;105.900 km;;;;1201 - 1400 cm3;76 - 100 HP;Hatchback/5;Tamamı orjinal
580.000 TL;Hyundai;Accent Blue;1.6 CRDI Mode Plus;2015.0;159.000 km;;;;1401 - 1600 cm3;126 - 150 HP;Sedan;Tamamı orjinal
619.000 TL;Hyundai;Accent Blue;1.6 CRDI Mode Plus;2018.0;285.000 km;;;;1582 cc;136 hp;Sedan;2 değişen, 3 boyalı
589.000 TL;Hyundai;Accent Era;1.4 Team;2009.0;203.000 km;;;;1399 cc;97 hp;Sedan;Tamamı orjinal
1.095.000 TL;Hyundai;i20;1.4 MPI Elite Smart;2016.0;95.000 km;;;;1201 - 1400 cm3;76 - 100 HP;Hatchback/5;2 boyalı
1.105.000 TL;Hyundai;Elantra;1.6 D-CVVT Style;2018.0;119.000 km;;;;1591 cc;128 hp;Sedan;Belirtilmemiş
1.256.000 TL;Hyundai;i20;1.4 MPI Style;2023.0;25.000 km;;;;1201 - 1400 cm3;76 - 100 HP;Hatchback/5;1 değişen
435.000 TL;Hyundai;Matrix;1.6 Team;2010.0;214.000 km;;;;1599 cc;103 hp;MPV;Belirtilmemiş
667.500 TL;Hyundai;Getz;1.4 DOHC Start;2010.0;173.000 km;;;;1399 cc;97 hp;Hatchback/5;2 değişen, 2 boyalı
935.000 TL;Hyundai;i20;1.4 MPI Jump;2021.0;202.000 km;;;;1368 cc;100 hp;Hatchback/5;Belirtilmemiş
1.239.000 TL;Hyundai;i20;1.4 MPI Style;2020.0;23.900 km;;;;1201 - 1400 cm3;76 - 100 HP;Hatchback/5;Tamamı orjinal
1.075.000 TL;Hyundai;i20;1.4 MPI Style;2016.0;66.500 km;;;;1368 cc;100 hp;Hatchback/5;1 değişen, 4 boyalı
467.500 TL;Hyundai;Getz;1.4 DOHC Start;2010.0;188.900 km;;;;1399 cc;97 hp;Hatchback/5;1 değişen, 3 boyalı
467.500 TL;Hyundai;Getz;1.4 DOHC Start;2010.0;188.900 km;;;;1399 cc;97 hp;Hatchback/5;1 değişen, 3 boyalı
998.000 TL;Hyundai;i20;1.4 MPI Style;2015.0;122.000 km;;;;1201 - 1400 cm3;76 - 100 HP;Hatchback/5;Tamamı orjinal
775.000 TL;Hyundai;Accent Blue;1.6 CRDI Mode;2017.0;265.000 km;;;;1582 cc;136 hp;Sedan;Tamamı orjinal
1.285.000 TL;Hyundai;i20;1.0 T-GDI Jump;2025.0;25.000 km;;;;1200 cm3' e kadar;76 - 100 HP;Hatchback/5;Tamamı orjinal
720.000 TL;Hyundai;Accent Blue;1.6 CRDI Mode Plus;2017.0;138.000 km;;;;1582 cc;136 hp;Sedan;1 değişen, 5 boyalı
395.000 TL;Hyundai;Getz;1.4 DOHC HY KLM;2006.0;245.011 km;;;;1399 cc;97 hp;Hatchback/5;Tamamı orjinal
1.340.000 TL;Hyundai;i20;1.4 MPI Elite;2022.0;34.000 km;;;;1368 cc;100 hp;Hatchback/5;Tamamı orjinal
765.000 TL;Hyundai;Accent Blue;1.6 CRDI Mode Plus;2018.0;194.000 km;;;;1401 - 1600 cm3;126 - 150 HP;Sedan;2 değişen, 7 boyalı
419.000 TL;Hyundai;Accent Era;1.5 CRDi-VGT Team;2009.0;193.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;3 değişen, 5 boyalı
815.000 TL;Hyundai;i20;1.2 MPI Style;2014.0;134.000 km;;;;1248 cc;84 hp;Hatchback/5;1 değişen
599.000 TL;Hyundai;Accent Blue;1.4 D-CVVT Mode Plus;2015.0;190.000 km;;;;1368 cc;100 hp;Sedan;Belirtilmemiş
870.000 TL;Hyundai;Elantra;1.6 CRDi Elite Plus;2016.0;239.000 km;;;;1582 cc;136 hp;Sedan;1 değişen, 4 boyalı
847.500 TL;Hyundai;i30;1.6 CRDi Style Design Pack;2015.0;199.980 km;;;;1401 - 1600 cm3;126 - 150 HP;Hatchback/5;1 değişen, 8 boyalı
400.000 TL;Hyundai;i20;1.2 D-CVVT Jump;2013.0;225.000 km;;;;1201 - 1400 cm3;76 - 100 HP;Hatchback/5;2 değişen, 4 boyalı
390.000 TL;Hyundai;Accent Era;1.6 Team;2008.0;273.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;12 boyalı
715.000 TL;Hyundai;i30;1.6 CRDi Elite;2013.0;204.000 km;;;;1582 cc;128 hp;Hatchback/5;2 değişen, 3 boyalı
590.000 TL;Hyundai;Getz;1.4 DOHC AB AC;2008.0;221.000 km;;;;1399 cc;97 hp;Hatchback/5;1 değişen, 8 boyalı
639.000 TL;Hyundai;Accent Era;1.4 Team;2010.0;155.000 km;;;;1201 - 1400 cm3;76 - 100 HP;Sedan;Tamamı orjinal
595.000 TL;Hyundai;Accent Era;1.4 Select;2007.0;204.000 km;;;;1399 cc;97 hp;Sedan;Tamamı orjinal
485.000 TL;Hyundai;Getz;1.4 DOHC HY KLM;2009.0;174.000 km;;;;1399 cc;97 hp;Hatchback/5;Tamamı orjinal
815.000 TL;Hyundai;i20;1.4 CVVT Sense;2013.0;84.000 km;;;;1201 - 1400 cm3;76 - 100 HP;Hatchback/5;1 değişen, 2 boyalı
1.845.000 TL;Hyundai;i20 N;1.6 T-GDI;2023.0;32.000 km;;;;1598 cc;204 hp;Hatchback/5;Tamamı orjinal
557.500 TL;Hyundai;i20;1.4 CRDi Jump;2013.0;220.000 km;;;;1396 cc;90 hp;Hatchback/5;1 boyalı
1.120.000 TL;Hyundai;i20;1.0 T-GDI Style;2019.0;84.000 km;;;;1200 cm3' e kadar;101 - 125 HP;Hatchback/5;Tamamı orjinal
1.300.000 TL;Hyundai;i20;1.4 MPI Elite;2021.0;73.000 km;;;;1368 cc;100 hp;Hatchback/5;Tamamı orjinal
599.000 TL;Hyundai;Accent Era;1.4 Select;2008.0;197.000 km;;;;1399 cc;97 hp;Sedan;1 değişen
350.000 TL;Hyundai;Getz;1.6 Cool;2005.0;250.000 km;;;;1599 cc;105 hp;Hatchback/3;1 değişen, 1 boyalı
1.303.000 TL;Hyundai;i20;1.4 MPI Style Plus;2022.0;24.000 km;;;;1201 - 1400 cm3;76 - 100 HP;Hatchback/5;Tamamı orjinal
565.000 TL;Hyundai;Accent Era;1.5 CRDi-VGT Team;2011.0;180.000 km;;;;1493 cc;110 hp;Sedan;1 değişen, 3 boyalı
1.015.000 TL;Hyundai;i30;1.6 CRDi Style;2012.0;110.000 km;;;;1582 cc;128 hp;Hatchback/5;Belirtilmemiş
1.061.000 TL;Hyundai;i20 Active;1.4 MPi Elite;2017.0;69.700 km;;;;1201 - 1400 cm3;76 - 100 HP;Hatchback/5;2 boyalı
680.000 TL;Hyundai;Accent Blue;1.4 D-CVVT Mode Plus;2013.0;197.000 km;;;;1201 - 1400 cm3;101 - 125 HP;Sedan;Belirtilmemiş
425.000 TL;Hyundai;Getz;1.5 CRDi VGT;2008.0;210.000 km;;;;1493 cc;88 hp;Hatchback/5;2 değişen, 7 boyalı
265.000 TL;Hyundai;Accent;1.5 GLS;1996.0;185.000 km;;;;1495 cc;91 hp;Hatchback/5;Belirtilmemiş
860.000 TL;Hyundai;Accent Blue;1.6 CRDI Mode;2016.0;210.000 km;;;;1582 cc;136 hp;Sedan;2 boyalı
538.000 TL;Hyundai;Getz;1.4 DOHC Start;2011.0;91.000 km;;;;1399 cc;97 hp;Hatchback/5;2 boyalı
920.000 TL;Hyundai;i20;1.4 MPI Jump;2017.0;50.000 km;;;;1201 - 1400 cm3;76 - 100 HP;Hatchback/5;2 değişen, 2 boyalı
827.500 TL;Hyundai;i20;1.2 MPI Style;2015.0;231.000 km;;;;1248 cc;84 hp;Hatchback/5;Tamamı orjinal
330.000 TL;Hyundai;Accent;1.5 GLS;1998.0;217.000 km;;;;1401 - 1600 cm3;76 - 100 HP;Sedan;Belirtilmemiş
1.010.000 TL;Hyundai;i30;1.6 CRDi Elite;2014.0;193.000 km;;;;1582 cc;128 hp;Hatchback/5;Tamamı orjinal
339.000 TL;Hyundai;Accent;1.5 1.5i GLS;2001.0;277.000 km;;;;1495 cc;102 hp;Sedan;Belirtilmemiş
450.000 TL;Hyundai;Accent Era;1.4 Start;2010.0;190.000 km;;;;1399 cc;97 hp;Sedan;4 boyalı
780.000 TL;Hyundai;i20;1.2 MPI Style;2015.0;157.000 km;;;;1248 cc;84 hp;Hatchback/5;2 değişen
1.100.000 TL;Hyundai;i20;1.4 MPI Style;2021.0;96.500 km;;;;1368 cc;100 hp;Hatchback/5;1 değişen, 3 boyalı
880.000 TL;Hyundai;i10;1.2 D-CVVT Elite;2015.0;64.500 km;;;;1248 cc;87 hp;Hatchback/5;Tamamı orjinal
410.000 TL;Hyundai;Accent Era;1.5 CRDi Start;2010.0;240.000 km;;;;1493 cc;110 hp;Sedan;2 değişen, 3 boyalı
1.200.000 TL;Hyundai;i20;1.4 MPI Style Plus;2023.0;42.000 km;;;;1368 cc;100 hp;Hatchback/5;1 değişen
720.000 TL;Hyundai;Accent Blue;1.4 CVVT Mode Plus;2012.0;153.000 km;;;;1396 cc;108 hp;Sedan;Tamamı orjinal
750.000 TL;Hyundai;i20;1.4 CRDi Style;2015.0;119.000 km;;;;1396 cc;90 hp;Hatchback/5;2 boyalı
425.000 TL;Hyundai;Accent Blue;1.4 D-CVVT Mode Plus;2016.0;122.800 km;;;;1368 cc;100 hp;Sedan;Belirtilmemiş
200.000 TL;Hyundai;Accent;1.5 CRDi Admire;2005.0;270.000 km;;;;1493 cc;82 hp;Sedan;12 boyalı
595.000 TL;Hyundai;Accent Era;1.4 Team;2012.0;132.500 km;;;;1399 cc;97 hp;Sedan;4 boyalı
1.120.000 TL;Hyundai;i20;1.4 MPI Style;2015.0;78.000 km;;;;1368 cc;100 hp;Hatchback/5;Tamamı orjinal
276.500 TL;Hyundai;Accent Era;1.4 Select;2007.0;718.000 km;;;;1399 cc;97 hp;Sedan;Belirtilmemiş
910.000 TL;Hyundai;Elantra;1.6 CRDi Style Plus;2018.0;229.500 km;;;;1582 cc;136 hp;Sedan;Belirtilmemiş
485.500 TL;Hyundai;Accent Era;1.4 Team;2007.0;196.000 km;;;;1399 cc;97 hp;Sedan;4 boyalı
395.000 TL;Hyundai;Accent Era;1.5 CRDi-VGT Team;2009.0;217.000 km;;;;1493 cc;110 hp;Sedan;3 değişen, 5 boyalı
385.000 TL;Hyundai;Accent Era;1.5 CRDi Mode;2011.0;331.500 km;;;;1493 cc;110 hp;Sedan;3 değişen, 5 boyalı
455.000 TL;Hyundai;Getz;1.5 VGT HY KLM;2007.0;224.000 km;;;;1493 cc;110 hp;Hatchback/5;1 boyalı
700.000 TL;Hyundai;Getz;1.4 DOHC Start;2010.0;59.000 km;;;;1399 cc;97 hp;Hatchback/5;3 boyalı
865.000 TL;Hyundai;Accent Blue;1.4 D-CVVT Mode Plus;2016.0;170.000 km;;;;1368 cc;100 hp;Sedan;5 boyalı
1.100.000 TL;Hyundai;Elantra;1.6 D-CVVT Style;2014.0;155.000 km;;;;1591 cc;127 hp;Sedan;Tamamı orjinal
740.000 TL;Hyundai;i20;1.4 CVVT Jump;2012.0;190.500 km;;;;1396 cc;100 hp;Hatchback/5;5 boyalı
700.000 TL;Hyundai;i20;1.4 CVVT Jump;2012.0;160.000 km;;;;1396 cc;100 hp;Hatchback/5;5 boyalı
1.060.000 TL;Hyundai;i20;1.4 MPI Style;2020.0;28.000 km;;;;1368 cc;100 hp;Hatchback/5;1 değişen
500.000 TL;Hyundai;i10;1.0 D-CVVT Style;2015.0;166.890 km;;;;1200 cm3' e kadar;51 - 75 HP;Hatchback/5;1 boyalı
269.000 TL;Hyundai;Getz;1.5 CRDi VGT Start;2008.0;185.000 km;;;;1493 cc;88 hp;Hatchback/5;Belirtilmemiş
1.080.000 TL;Hyundai;Elantra;1.6 D-CVVT Style;2017.0;106.650 km;;;;1591 cc;127 hp;Sedan;2 boyalı
499.750 TL;Hyundai;Getz;1.5 CRDi VGT;2010.0;130.000 km;;;;1401 - 1600 cm3;76 - 100 HP;Hatchback/5;1 değişen, 1 boyalı
385.000 TL;Hyundai;Accent;1.3 Admire;2005.0;299.200 km;;;;1341 cc;86 hp;Sedan;1 değişen, 9 boyalı
1.170.000 TL;Hyundai;Elantra;1.6 D-CVVT Style;2017.0;130.000 km;;;;1591 cc;127 hp;Sedan;Belirtilmemiş
330.000 TL;Hyundai;Accent;1.3 LX;2003.0;293.000 km;;;;1341 cc;86 hp;Sedan;Tamamı orjinal
589.000 TL;Hyundai;i20;1.2 D-CVVT Jump;2014.0;179.649 km;;;;1248 cc;85 hp;Hatchback/5;Belirtilmemiş
960.000 TL;Hyundai;Accent Blue;1.6 CRDI Mode Plus;2017.0;156.000 km;;;;1582 cc;136 hp;Sedan;Tamamı orjinal
830.000 TL;Hyundai;Accent Blue;1.6 CRDI Mode Plus;2015.0;198.500 km;;;;1582 cc;136 hp;Sedan;1 değişen, 6 boyalı
600.000 TL;Hyundai;i20;1.2 MPI Jump;2014.0;162.000 km;;;;1248 cc;84 hp;Hatchback/5;3 değişen, 1 boyalı
1.100.000 TL;Hyundai;i20;1.4 MPI Jump;2022.0;93.900 km;;;;1368 cc;100 hp;Hatchback/5;Tamamı orjinal
250.000 TL;Hyundai;Accent;1.3 LS;2000.0;370.000 km;;;;1341 cc;75 hp;Sedan;Tamamı orjinal
235.500 TL;Hyundai;Accent;1.5 CRDi Admire;2004.0;204.000 km;;;;1493 cc;82 hp;Sedan;2 boyalı
800.000 TL;Hyundai;Accent Blue;1.4 CVVT Mode Plus;2016.0;107.000 km;;;;;;Sedan;Belirtilmemiş
800.000 TL;Hyundai;Accent Blue;1.4 CVVT Mode Plus;2016.0;107.000 km;;;;;;Sedan;Belirtilmemiş
475.000 TL;Hyundai;Getz;1.4 DOHC Start;2010.0;303.000 km;;;;1399 cc;97 hp;Hatchback/5;Belirtilmemiş
180.000 TL;Hyundai;Elantra;1.6 GL;1999.0;400.000 km;;;;1599 cc;114 hp;Sedan;11 boyalı
759.900 TL;Hyundai;Accent Blue;1.6 CRDI Mode Plus;2017.0;230.801 km;;;;1582 cc;136 hp;Sedan;6 boyalı
759.900 TL;Hyundai;Accent Blue;1.6 CRDI Mode Plus;2017.0;216.996 km;;;;1582 cc;136 hp;Sedan;8 boyalı
995.000 TL;Hyundai;i30;1.6 CRDi Elite;2012.0;148.000 km;;;;1582 cc;128 hp;Hatchback/5;2 değişen
650.000 TL;Hyundai;Accent Blue;1.6 CRDI Biz;2012.0;186.000 km;;;;1582 cc;128 hp;Sedan;2 değişen, 2 boyalı
320.000 TL;Hyundai;Accent;1.3 LX;2002.0;146.000 km;;;;1341 cc;86 hp;Sedan;1 değişen, 1 boyalı
479.550 TL;Hyundai;i20 Troy;1.4 CRDi Mode;2012.0;226.000 km;;;;1201 - 1400 cm3;76 - 100 HP;Hatchback/5;1 değişen, 8 boyalı
435.000 TL;Hyundai;Accent Era;1.4 Mode;2011.0;181.000 km;;;;1399 cc;97 hp;Sedan;3 değişen, 1 boyalı
845.000 TL;Hyundai;i20;1.2 MPI Style;2015.0;82.000 km;;;;1248 cc;84 hp;Hatchback/5;Belirtilmemiş
428.000 TL;Hyundai;Getz;1.5 CRDi VGT;2007.0;216.000 km;;;;1493 cc;88 hp;Hatchback/5;1 değişen, 11 boyalı
205.000 TL;Hyundai;Accent;1.5 CRDi Admire;2005.0;330.000 km;;;;1493 cc;82 hp;Sedan;Belirtilmemiş
420.000 TL;Hyundai;Accent;1.3 LX;2002.0;290.000 km;;;;1341 cc;86 hp;Sedan;2 değişen, 10 boyalı
699.000 TL;Hyundai;i30;1.6 CRDi Style;2012.0;275.000 km;;;;1582 cc;128 hp;Hatchback/5;1 değişen, 1 boyalı
569.500 TL;Hyundai;Accent Blue;1.6 CRDI Biz;2015.0;237.000 km;;;;1582 cc;136 hp;Sedan;2 boyalı
241.500 TL;Hyundai;Accent;1.3 LX;1998.0;325.000 km;;;;1201 - 1400 cm3;76 - 100 HP;Sedan;Belirtilmemiş
275.000 TL;Hyundai;Accent;1.5 CRDi Admire;2003.0;300.000 km;;;;1493 cc;82 hp;Sedan;Belirtilmemiş
265.000 TL;Hyundai;Accent;1.3 LX;1999.0;187.500 km;;;;1341 cc;86 hp;Sedan;Belirtilmemiş
225.000 TL;Hyundai;Accent;1.5 CRDi Admire;2005.0;336.000 km;;;;1493 cc;82 hp;Sedan;Belirtilmemiş
225.000 TL;Hyundai;Accent;1.5 CRDi Admire;2005.0;336.000 km;;;;1493 cc;82 hp;Sedan;Belirtilmemiş
1.425.000 TL;Hyundai;i20;1.0 T-GDI Elite;2024.0;16.700 km;;;;-;-;Hatchback/5;Belirtilmemiş
235.000 TL;Hyundai;Accent;1.5 CRDi Admire;2005.0;277.000 km;;;;1493 cc;82 hp;Sedan;2 boyalı
1.100.000 TL;Hyundai;i20;1.4 CVVT Elite;2017.0;92.000 km;;;;;;Hatchback/5;1 boyalı
997.000 TL;Hyundai;i20;1.4 MPI Jump;2022.0;168.000 km;;;;1368 cc;100 hp;Hatchback/5;Tamamı orjinal
650.000 TL;Hyundai;Accent Blue;1.6 CRDI Mode Plus;2014.0;216.600 km;;;;1582 cc;136 hp;Sedan;3 değişen, 9 boyalı
1.350.000 TL;Hyundai;i20;1.4 MPI Style;2024.0;16.000 km;;;;1201 - 1400 cm3;76 - 100 HP;Hatchback/5;Tamamı orjinal
608.000 TL;Hyundai;Accent Blue;1.6 CRDI Biz;2013.0;214.500 km;;;;1582 cc;128 hp;Sedan;3 boyalı
510.000 TL;Hyundai;Accent Era;1.5 CRDi Team;2009.0;198.000 km;;;;1493 cc;110 hp;Sedan;4 boyalı
540.000 TL;Hyundai;Accent Era;1.6 Expo Platinum;2010.0;217.000 km;;;;1599 cc;112 hp;Sedan;1 değişen
480.000 TL;Hyundai;Accent Era;1.5 CRDi-VGT Team;2009.0;200.000 km;;;;1493 cc;110 hp;Sedan;3 değişen, 1 boyalı
1.165.000 TL;Hyundai;i20;1.4 MPI Jump;2023.0;61.300 km;;;;1368 cc;100 hp;Hatchback/5;Belirtilmemiş
580.000 TL;Hyundai;Getz;1.4 DOHC AB AC;2007.0;182.600 km;;;;1399 cc;97 hp;Hatchback/5;3 boyalı
900.000 TL;Hyundai;Accent Blue;1.6 CRDI Mode Plus;2017.0;185.500 km;;;;1582 cc;136 hp;Sedan;Belirtilmemiş
440.000 TL;Hyundai;Getz;1.3 GLS;2004.0;205.000 km;;;;1341 cc;82 hp;Hatchback/5;1 değişen, 1 boyalı
240.000 TL;Hyundai;Accent;1.5 GLS;1999.0;322.000 km;;;;1495 cc;92 hp;Sedan;Belirtilmemiş
210.000 TL;Hyundai;Accent;1.5 LX;1998.0;280.000 km;;;;1341 cc;75 hp;Sedan;Belirtilmemiş
475.000 TL;Hyundai;i20;1.4 CRDi Team;2011.0;217.000 km;;;;1396 cc;75 hp;Hatchback/5;4 boyalı
610.000 TL;Hyundai;i20;1.4 CRDi Jump;2015.0;262.000 km;;;;1396 cc;90 hp;Hatchback/5;4 boyalı
285.000 TL;Hyundai;Getz;1.3 GLS;2005.0;305.000 km;;;;1341 cc;82 hp;Hatchback/5;3 değişen, 9 boyalı
285.000 TL;Hyundai;Getz;1.3 GLS;2005.0;305.000 km;;;;1341 cc;82 hp;Hatchback/5;3 değişen, 9 boyalı
125.000 TL;Hyundai;Excel;1.5 GLS;1992.0;580.000 km;;;;1468 cc;71 hp;Sedan;12 boyalı
615.000 TL;Hyundai;i20;1.2 MPI Style;2015.0;126.000 km;;;;5001 - 5500 cm3;226 - 250 HP;Hatchback/5;1 boyalı
295.000 TL;Hyundai;Getz;1.4 DOHC HY KLM;2007.0;198.000 km;;;;1399 cc;97 hp;Hatchback/5;11 boyalı
815.000 TL;Hyundai;i20;1.2 MPI Jump;2017.0;95.500 km;;;;1248 cc;84 hp;Hatchback/5;Belirtilmemiş
1.173.500 TL;Hyundai;Elantra;1.6 CRDi Style Plus;2018.0;205.000 km;;;;1582 cc;136 hp;Sedan;4 boyalı
1.099.000 TL;Hyundai;i20;1.4 MPI Style;2023.0;24.000 km;;;;1368 cc;100 hp;Hatchback/5;1 boyalı
1.135.000 TL;Hyundai;i20;1.4 MPI Elite;2015.0;63.000 km;;;;1368 cc;100 hp;Hatchback/5;4 boyalı
430.000 TL;Hyundai;i10;1.1 Select;2010.0;212.000 km;;;;;;Hatchback/5;Belirtilmemiş
317.500 TL;Hyundai;Getz;1.5 CRDi GL Active;2005.0;285.000 km;;;;1493 cc;82 hp;Hatchback/5;Belirtilmemiş
595.000 TL;Hyundai;i20;1.4 CRDi Jump;2014.0;291.000 km;;;;1396 cc;90 hp;Hatchback/5;3 değişen, 3 boyalı
180.000 TL;Hyundai;Accent;1.3 GLS;1998.0;295.000 km;;;;1341 cc;75 hp;Hatchback/5;Belirtilmemiş
495.000 TL;Hyundai;Accent Era;1.4 Team;2010.0;296.000 km;;;;1399 cc;97 hp;Sedan;Tamamı orjinal
570.000 TL;Hyundai;i10;1.0 D-CVVT Style;2015.0;189.000 km;;;;998 cc;65 hp;Hatchback/5;2 boyalı
975.000 TL;Hyundai;i20;1.4 MPI Elite;2015.0;152.000 km;;;;1368 cc;100 hp;Hatchback/5;1 değişen, 1 boyalı
790.000 TL;Hyundai;Elantra;1.6 CRDi Style;2014.0;180.000 km;;;;1582 cc;136 hp;Sedan;Tamamı orjinal
1.083.000 TL;Hyundai;i20;1.4 MPI Style;2017.0;95.000 km;;;;1368 cc;100 hp;Hatchback/5;Tamamı orjinal
475.000 TL;Hyundai;Accent Era;1.5 CRDi-VGT Team;2011.0;310.000 km;;;;1493 cc;110 hp;Sedan;Belirtilmemiş
425.000 TL;Hyundai;Accent Era;1.6 Expo Platinum;2009.0;501.000 km;;;;1599 cc;112 hp;Sedan;1 değişen, 12 boyalı
800.000 TL;Hyundai;i20;1.4 CRDi Jump;2015.0;175.000 km;;;;1396 cc;90 hp;Hatchback/5;Belirtilmemiş
1.040.000 TL;Audi;A3;A3 Sportback 1.6 TDI Attraction;2012.0;158.460 km;Yarı Otomatik;50 lt;Beyaz;1598 cc;105 hp;Hatchback/3;Tamamı orjinal
